Group No.,Sl. no,RPM,LOAD (kg),AIR (mm of water),FUEL (ml/min),ENGINE WATER FLOW (lph),CALORIMETER WATER FLOW (lph),T1 (°C),T2 (°C),T3 (°C),T4 (°C),T5 (°C),T6 (°C),COMP. RATIO,Indicated Power (Ip) value (kw)
1,a,1556,2,90,10.6,300,65,27,34,27,36,175,157,18:01,1.8
1,b,1534,8,83,16.2,300,65,27,45,27,42,192,167,18:01,3.95
2,a,1553,3,90,11.6,300,65,27,36,27,37,186,145,18:01,2.5
2,b,1544,5.5,86,13.6,300,65,27,39,27,40,195,168,18:01,3.3
3,a,1549,4,88,12.4,300,65,27,38,27,41,181,157,18:01,2.8
3,b,1536,7,86,15.6,300,65,27,42,27,42,192,155,18:01,3.9
4,a,1562,0.5,88,10,90,110,27,35,27,41,165,140,18:01,0.35
4,b,1526,10,82,19,80,110,27,41,27,43,205,172,18:01,4.25
5,a,1556,1,90,10.1,300,60,27,32,27,33,147,120,18:01,0.95
5,b,1543,6,83,14.2,300,70,27,40,27,41,146,125,18:01,3.4
6,a,1555,2.1,90,10.6,300,65,29,35,29,36,173,149,18:01,1.8
6,b,1530,9.1,86,19,280,80,28.25,40.25,28.25,40.75,261,171,18:01,5.2
,,,,,,,,,,,,,,,
